dt,observer,current_time,current_v,probe_auc,future_recoverable,future_v_min,future_collapsed
0.1,slow_observer,0.0,1.0,0.8,True,0.4096294510347078,False
0.1,slow_observer,0.0,1.0,0.8613636363636364,True,0.3643453464265751,False
0.1,slow_observer,0.0,1.0,0.9227272727272728,True,0.319061241818441,True
0.1,slow_observer,0.0,1.0,0.9840909090909091,True,0.27377713721030833,True
0.1,slow_observer,0.0,1.0,1.0454545454545454,True,0.228493032602175,True
0.1,slow_observer,0.0,1.0,1.106818181818182,True,0.183208927994042,True
0.1,slow_observer,0.0,1.0,1.1681818181818182,True,0.13792482338590878,True
0.1,slow_observer,0.0,1.0,1.2295454545454545,True,0.09264071877777563,True
0.1,slow_observer,0.0,1.0,1.290909090909091,True,0.04735661416964225,True
0.1,slow_observer,0.0,1.0,1.3522727272727275,True,0.0020725095615088582,True
0.1,slow_observer,0.0,1.0,1.4136363636363638,True,-0.0432115950466247,True
0.1,slow_observer,0.0,1.0,1.475,True,-0.08849569965475797,True
0.1,slow_observer,0.0,1.0,1.5363636363636366,True,-0.13377980426289068,True
0.1,slow_observer,0.0,1.0,1.5977272727272729,True,-0.1790639088710236,True
0.1,slow_observer,0.0,1.0,1.6590909090909092,True,-0.224348013479157,True
0.1,slow_observer,0.0,1.0,1.7204545454545457,True,-0.2696321180872901,True
0.1,slow_observer,0.0,1.0,1.781818181818182,True,-0.31491622269542324,True
0.1,slow_observer,0.0,1.0,1.8431818181818183,True,-0.3602003273035565,True
0.1,slow_observer,0.0,1.0,1.9045454545454548,True,-0.4054844319116901,True
0.1,slow_observer,0.0,1.0,1.965909090909091,True,-0.4507685365198227,True
0.1,slow_observer,0.0,1.0,2.0272727272727273,True,-0.49605264112795555,True
0.1,slow_observer,0.0,1.0,2.088636363636364,True,-0.5413367457360898,True
0.1,slow_observer,0.0,1.0,2.1500000000000004,True,-0.5866208503442223,True
0.1,slow_observer,0.0,1.0,2.211363636363637,True,-0.6319049549523561,True
0.1,slow_observer,0.0,1.0,2.272727272727273,True,-0.6771890595604884,True
0.1,slow_observer,0.0,1.0,2.334090909090909,True,-0.7224731641686217,True
0.1,slow_observer,0.0,1.0,2.3954545454545455,True,-0.767757268776755,True
0.1,slow_observer,0.0,1.0,2.456818181818182,False,-0.813041373384889,True
0.1,slow_observer,0.0,1.0,2.5181818181818185,False,-0.8583254779930212,True
0.1,slow_observer,0.0,1.0,2.579545454545455,False,-0.9036095826011551,True
0.1,slow_observer,0.0,1.0,2.640909090909091,False,-0.9488936872092879,True
0.1,slow_observer,0.0,1.0,2.7022727272727276,False,-0.9941777918174212,True
0.1,slow_observer,0.0,1.0,2.7636363636363637,False,-1.0394618964255544,True
0.1,slow_observer,0.0,1.0,2.825,False,-1.0847460010336878,True
0.1,slow_observer,0.0,1.0,2.8863636363636367,False,-1.1300301056418212,True
0.1,slow_observer,0.0,1.0,2.947727272727273,False,-1.1753142102499534,True
0.1,slow_observer,0.0,1.0,3.0090909090909097,False,-1.2205983148580881,True
0.1,slow_observer,0.0,1.0,3.0704545454545453,False,-1.2658824194662206,True
0.1,slow_observer,0.0,1.0,3.131818181818182,False,-1.311166524074353,True
0.1,slow_observer,0.0,1.0,3.1931818181818183,False,-1.3564506286824876,True
0.1,slow_observer,0.0,1.0,3.254545454545455,False,-1.4017347332906196,True
0.1,slow_observer,0.0,1.0,3.3159090909090914,False,-1.4470188378987536,True
0.1,slow_observer,0.0,1.0,3.377272727272728,False,-1.4923029425068868,True
0.1,slow_observer,0.0,1.0,3.4386363636363644,False,-1.5375870471150206,True
0.1,slow_observer,0.0,1.0,3.5,False,-1.5828711517231515,True
0.1,slow_observer,2.0,1.0,0.8,True,0.4096294510347078,False
0.1,slow_observer,2.0,1.0,0.8613636363636364,True,0.3643453464265751,False
0.1,slow_observer,2.0,1.0,0.9227272727272728,True,0.319061241818441,True
0.1,slow_observer,2.0,1.0,0.9840909090909091,True,0.27377713721030833,True
0.1,slow_observer,2.0,1.0,1.0454545454545454,True,0.228493032602175,True
0.1,slow_observer,2.0,1.0,1.106818181818182,True,0.183208927994042,True
0.1,slow_observer,2.0,1.0,1.1681818181818182,True,0.13792482338590878,True
0.1,slow_observer,2.0,1.0,1.2295454545454545,True,0.09264071877777563,True
0.1,slow_observer,2.0,1.0,1.290909090909091,True,0.04735661416964225,True
0.1,slow_observer,2.0,1.0,1.3522727272727275,True,0.0020725095615088582,True
0.1,slow_observer,2.0,1.0,1.4136363636363638,True,-0.0432115950466247,True
0.1,slow_observer,2.0,1.0,1.475,True,-0.08849569965475797,True
0.1,slow_observer,2.0,1.0,1.5363636363636366,True,-0.13377980426289068,True
0.1,slow_observer,2.0,1.0,1.5977272727272729,True,-0.1790639088710236,True
0.1,slow_observer,2.0,1.0,1.6590909090909092,True,-0.224348013479157,True
0.1,slow_observer,2.0,1.0,1.7204545454545457,True,-0.2696321180872901,True
0.1,slow_observer,2.0,1.0,1.781818181818182,True,-0.31491622269542324,True
0.1,slow_observer,2.0,1.0,1.8431818181818183,True,-0.3602003273035565,True
0.1,slow_observer,2.0,1.0,1.9045454545454548,True,-0.4054844319116901,True
0.1,slow_observer,2.0,1.0,1.965909090909091,True,-0.4507685365198227,True
0.1,slow_observer,2.0,1.0,2.0272727272727273,True,-0.49605264112795555,True
0.1,slow_observer,2.0,1.0,2.088636363636364,True,-0.5413367457360898,True
