noise_strength,nodes_accessible,edges_accessible,n_components,largest_component_size,avg_degree,network_density
0.0,36,51,3,23,2.8333333333333335,0.08095238095238096
0.01,41,55,4,25,2.682926829268293,0.06707317073170732
0.02,51,69,5,29,2.7058823529411766,0.05411764705882353
0.05,86,114,8,45,2.6511627906976742,0.03119015047879617
