probe_sigma,observer,current_time,current_v,probe_auc,future_recoverable,future_v_min,future_collapsed
3.0,slow_observer,0.0,1.0,0.8,True,0.3579179587003432,False
3.0,slow_observer,0.0,1.0,0.8613636363636364,True,0.3086673475779261,True
3.0,slow_observer,0.0,1.0,0.9227272727272728,True,0.2594167364555095,True
3.0,slow_observer,0.0,1.0,0.9840909090909091,True,0.2101661253330931,True
3.0,slow_observer,0.0,1.0,1.0454545454545454,True,0.16091551421067568,True
3.0,slow_observer,0.0,1.0,1.106818181818182,True,0.11166490308825873,True
3.0,slow_observer,0.0,1.0,1.1681818181818182,True,0.06241429196584242,True
3.0,slow_observer,0.0,1.0,1.2295454545454545,True,0.013163680843424974,True
3.0,slow_observer,0.0,1.0,1.290909090909091,True,-0.03608693027899182,True
3.0,slow_observer,0.0,1.0,1.3522727272727275,True,-0.08533754140140913,True
3.0,slow_observer,0.0,1.0,1.4136363636363638,True,-0.13458815252382536,True
3.0,slow_observer,0.0,1.0,1.475,True,-0.18383876364624233,True
3.0,slow_observer,0.0,1.0,1.5363636363636366,True,-0.23308937476865946,True
3.0,slow_observer,0.0,1.0,1.5977272727272729,True,-0.2823399858910769,True
3.0,slow_observer,0.0,1.0,1.6590909090909092,True,-0.33159059701349297,True
3.0,slow_observer,0.0,1.0,1.7204545454545457,True,-0.38084120813591077,True
3.0,slow_observer,0.0,1.0,1.781818181818182,True,-0.4300918192583261,True
3.0,slow_observer,0.0,1.0,1.8431818181818183,True,-0.47934243038074376,True
3.0,slow_observer,0.0,1.0,1.9045454545454548,True,-0.5285930415031606,True
3.0,slow_observer,0.0,1.0,1.965909090909091,True,-0.577843652625578,True
3.0,slow_observer,0.0,1.0,2.0272727272727273,True,-0.6270942637479954,True
3.0,slow_observer,0.0,1.0,2.088636363636364,True,-0.676344874870412,True
3.0,slow_observer,0.0,1.0,2.1500000000000004,True,-0.7255954859928274,True
3.0,slow_observer,0.0,1.0,2.211363636363637,True,-0.7748460971152462,True
3.0,slow_observer,0.0,1.0,2.272727272727273,True,-0.8240967082376618,True
3.0,slow_observer,0.0,1.0,2.334090909090909,True,-0.8733473193600783,True
3.0,slow_observer,0.0,1.0,2.3954545454545455,True,-0.9225979304824953,True
3.0,slow_observer,0.0,1.0,2.456818181818182,False,-0.9718485416049127,True
3.0,slow_observer,0.0,1.0,2.5181818181818185,False,-1.0210991527273288,True
3.0,slow_observer,0.0,1.0,2.579545454545455,False,-1.0703497638497457,True
3.0,slow_observer,0.0,1.0,2.640909090909091,False,-1.1196003749721635,True
3.0,slow_observer,0.0,1.0,2.7022727272727276,False,-1.1688509860945808,True
3.0,slow_observer,0.0,1.0,2.7636363636363637,False,-1.218101597216997,True
3.0,slow_observer,0.0,1.0,2.825,False,-1.2673522083394135,True
3.0,slow_observer,0.0,1.0,2.8863636363636367,False,-1.316602819461832,True
3.0,slow_observer,0.0,1.0,2.947727272727273,False,-1.3658534305842478,True
3.0,slow_observer,0.0,1.0,3.0090909090909097,False,-1.4151040417066652,True
3.0,slow_observer,0.0,1.0,3.0704545454545453,False,-1.4643546528290798,True
3.0,slow_observer,0.0,1.0,3.131818181818182,False,-1.5136052639514987,True
3.0,slow_observer,0.0,1.0,3.1931818181818183,False,-1.5628558750739154,True
3.0,slow_observer,0.0,1.0,3.254545454545455,False,-1.6121064861963315,True
3.0,slow_observer,0.0,1.0,3.3159090909090914,False,-1.6613570973187477,True
3.0,slow_observer,0.0,1.0,3.377272727272728,False,-1.7106077084411655,True
3.0,slow_observer,0.0,1.0,3.4386363636363644,False,-1.759858319563582,True
3.0,slow_observer,0.0,1.0,3.5,False,-1.809108930685999,True
3.0,slow_observer,2.0,1.0,0.8,True,0.3579179587003432,False
3.0,slow_observer,2.0,1.0,0.8613636363636364,True,0.3086673475779261,True
3.0,slow_observer,2.0,1.0,0.9227272727272728,True,0.2594167364555095,True
3.0,slow_observer,2.0,1.0,0.9840909090909091,True,0.2101661253330931,True
3.0,slow_observer,2.0,1.0,1.0454545454545454,True,0.16091551421067568,True
3.0,slow_observer,2.0,1.0,1.106818181818182,True,0.11166490308825873,True
3.0,slow_observer,2.0,1.0,1.1681818181818182,True,0.06241429196584242,True
3.0,slow_observer,2.0,1.0,1.2295454545454545,True,0.013163680843424974,True
3.0,slow_observer,2.0,1.0,1.290909090909091,True,-0.03608693027899182,True
3.0,slow_observer,2.0,1.0,1.3522727272727275,True,-0.08533754140140913,True
3.0,slow_observer,2.0,1.0,1.4136363636363638,True,-0.13458815252382536,True
3.0,slow_observer,2.0,1.0,1.475,True,-0.18383876364624233,True
3.0,slow_observer,2.0,1.0,1.5363636363636366,True,-0.23308937476865946,True
3.0,slow_observer,2.0,1.0,1.5977272727272729,True,-0.2823399858910769,True
3.0,slow_observer,2.0,1.0,1.6590909090909092,True,-0.33159059701349297,True
3.0,slow_observer,2.0,1.0,1.7204545454545457,True,-0.38084120813591077,True
3.0,slow_observer,2.0,1.0,1.781818181818182,True,-0.4300918192583261,True
3.0,slow_observer,2.0,1.0,1.8431818181818183,True,-0.47934243038074376,True
3.0,slow_observer,2.0,1.0,1.9045454545454548,True,-0.5285930415031606,True
3.0,slow_observer,2.0,1.0,1.965909090909091,True,-0.577843652625578,True
3.0,slow_observer,2.0,1.0,2.0272727272727273,True,-0.6270942637479954,True
3.0,slow_observer,2.0,1.0,2.088636363636364,True,-0.676344874870412,True
3.0,slow_observer,2.0,1.0,2.1500000000000004,True,-0.7255954859928274,True
3.0,slow_observer,2.0,1.0,2.211363636363637,True,-0.7748460971152462,True
3.0,slow_observer,2.0,1.0,2.272727272727273,True,-0.8240967082376618,True
3.0,slow_observer,2.0,1.0,2.334090909090909,True,-0.8733473193600783,True
3.0,slow_observer,2.0,1.0,2.3954545454545455,True,-0.9225979304824953,True
3.0,slow_observer,2.0,1.0,2.456818181818182,False,-0.9718485416049127,True
3.0,slow_observer,2.0,1.0,2.5181818181818185,False,-1.0210991527273288,True
3.0,slow_observer,2.0,1.0,2.579545454545455,False,-1.0703497638497457,True
3.0,slow_observer,2.0,1.0,2.640909090909091,False,-1.1196003749721635,True
3.0,slow_observer,2.0,1.0,2.7022727272727276,False,-1.1688509860945808,True
3.0,slow_observer,2.0,1.0,2.7636363636363637,False,-1.218101597216997,True
3.0,slow_observer,2.0,1.0,2.825,False,-1.2673522083394135,True
3.0,slow_observer,2.0,1.0,2.8863636363636367,False,-1.316602819461832,True
3.0,slow_observer,2.0,1.0,2.947727272727273,False,-1.3658534305842478,True
3.0,slow_observer,2.0,1.0,3.0090909090909097,False,-1.4151040417066652,True
3.0,slow_observer,2.0,1.0,3.0704545454545453,False,-1.4643546528290798,True
3.0,slow_observer,2.0,1.0,3.131818181818182,False,-1.5136052639514987,True
3.0,slow_observer,2.0,1.0,3.1931818181818183,False,-1.5628558750739154,True
3.0,slow_observer,2.0,1.0,3.254545454545455,False,-1.6121064861963315,True
3.0,slow_observer,2.0,1.0,3.3159090909090914,False,-1.6613570973187477,True
3.0,slow_observer,2.0,1.0,3.377272727272728,False,-1.7106077084411655,True
3.0,slow_observer,2.0,1.0,3.4386363636363644,False,-1.759858319563582,True
3.0,slow_observer,2.0,1.0,3.5,False,-1.809108930685999,True
3.0,slow_observer,4.0,1.0,0.8,True,0.3579179587003432,False
3.0,slow_observer,4.0,1.0,0.8613636363636364,True,0.3086673475779261,True
3.0,slow_observer,4.0,1.0,0.9227272727272728,True,0.2594167364555095,True
3.0,slow_observer,4.0,1.0,0.9840909090909091,True,0.2101661253330931,True
3.0,slow_observer,4.0,1.0,1.0454545454545454,True,0.16091551421067568,True
3.0,slow_observer,4.0,1.0,1.106818181818182,True,0.11166490308825873,True
3.0,slow_observer,4.0,1.0,1.1681818181818182,True,0.06241429196584242,True
3.0,slow_observer,4.0,1.0,1.2295454545454545,True,0.013163680843424974,True
3.0,slow_observer,4.0,1.0,1.290909090909091,True,-0.03608693027899182,True
3.0,slow_observer,4.0,1.0,1.3522727272727275,True,-0.08533754140140913,True
3.0,slow_observer,4.0,1.0,1.4136363636363638,True,-0.13458815252382536,True
3.0,slow_observer,4.0,1.0,1.475,True,-0.18383876364624233,True
3.0,slow_observer,4.0,1.0,1.5363636363636366,True,-0.23308937476865946,True
3.0,slow_observer,4.0,1.0,1.5977272727272729,True,-0.2823399858910769,True
3.0,slow_observer,4.0,1.0,1.6590909090909092,True,-0.33159059701349297,True
3.0,slow_observer,4.0,1.0,1.7204545454545457,True,-0.38084120813591077,True
3.0,slow_observer,4.0,1.0,1.781818181818182,True,-0.4300918192583261,True
3.0,slow_observer,4.0,1.0,1.8431818181818183,True,-0.47934243038074376,True
3.0,slow_observer,4.0,1.0,1.9045454545454548,True,-0.5285930415031606,True
3.0,slow_observer,4.0,1.0,1.965909090909091,True,-0.577843652625578,True
3.0,slow_observer,4.0,1.0,2.0272727272727273,True,-0.6270942637479954,True
3.0,slow_observer,4.0,1.0,2.088636363636364,True,-0.676344874870412,True
3.0,slow_observer,4.0,1.0,2.1500000000000004,True,-0.7255954859928274,True
3.0,slow_observer,4.0,1.0,2.211363636363637,True,-0.7748460971152462,True
3.0,slow_observer,4.0,1.0,2.272727272727273,True,-0.8240967082376618,True
3.0,slow_observer,4.0,1.0,2.334090909090909,True,-0.8733473193600783,True
3.0,slow_observer,4.0,1.0,2.3954545454545455,True,-0.9225979304824953,True
3.0,slow_observer,4.0,1.0,2.456818181818182,False,-0.9718485416049127,True
3.0,slow_observer,4.0,1.0,2.5181818181818185,False,-1.0210991527273288,True
3.0,slow_observer,4.0,1.0,2.579545454545455,False,-1.0703497638497457,True
3.0,slow_observer,4.0,1.0,2.640909090909091,False,-1.1196003749721635,True
3.0,slow_observer,4.0,1.0,2.7022727272727276,False,-1.1688509860945808,True
3.0,slow_observer,4.0,1.0,2.7636363636363637,False,-1.218101597216997,True
3.0,slow_observer,4.0,1.0,2.825,False,-1.2673522083394135,True
3.0,slow_observer,4.0,1.0,2.8863636363636367,False,-1.316602819461832,True
3.0,slow_observer,4.0,1.0,2.947727272727273,False,-1.3658534305842478,True
3.0,slow_observer,4.0,1.0,3.0090909090909097,False,-1.4151040417066652,True
3.0,slow_observer,4.0,1.0,3.0704545454545453,False,-1.4643546528290798,True
3.0,slow_observer,4.0,1.0,3.131818181818182,False,-1.5136052639514987,True
3.0,slow_observer,4.0,1.0,3.1931818181818183,False,-1.5628558750739154,True
3.0,slow_observer,4.0,1.0,3.254545454545455,False,-1.6121064861963315,True
3.0,slow_observer,4.0,1.0,3.3159090909090914,False,-1.6613570973187477,True
3.0,slow_observer,4.0,1.0,3.377272727272728,False,-1.7106077084411655,True
3.0,slow_observer,4.0,1.0,3.4386363636363644,False,-1.759858319563582,True
3.0,slow_observer,4.0,1.0,3.5,False,-1.809108930685999,True
3.0,slow_observer,6.0,1.0,0.8,True,0.3579179587003432,False
3.0,slow_observer,6.0,1.0,0.8613636363636364,True,0.3086673475779261,True
3.0,slow_observer,6.0,1.0,0.9227272727272728,True,0.2594167364555095,True
3.0,slow_observer,6.0,1.0,0.9840909090909091,True,0.2101661253330931,True
3.0,slow_observer,6.0,1.0,1.0454545454545454,True,0.16091551421067568,True
3.0,slow_observer,6.0,1.0,1.106818181818182,True,0.11166490308825873,True
3.0,slow_observer,6.0,1.0,1.1681818181818182,True,0.06241429196584242,True
3.0,slow_observer,6.0,1.0,1.2295454545454545,True,0.013163680843424974,True
3.0,slow_observer,6.0,1.0,1.290909090909091,True,-0.03608693027899182,True
3.0,slow_observer,6.0,1.0,1.3522727272727275,True,-0.08533754140140913,True
3.0,slow_observer,6.0,1.0,1.4136363636363638,True,-0.13458815252382536,True
3.0,slow_observer,6.0,1.0,1.475,True,-0.18383876364624233,True
3.0,slow_observer,6.0,1.0,1.5363636363636366,True,-0.23308937476865946,True
3.0,slow_observer,6.0,1.0,1.5977272727272729,True,-0.2823399858910769,True
3.0,slow_observer,6.0,1.0,1.6590909090909092,True,-0.33159059701349297,True
3.0,slow_observer,6.0,1.0,1.7204545454545457,True,-0.38084120813591077,True
3.0,slow_observer,6.0,1.0,1.781818181818182,True,-0.4300918192583261,True
3.0,slow_observer,6.0,1.0,1.8431818181818183,True,-0.47934243038074376,True
3.0,slow_observer,6.0,1.0,1.9045454545454548,True,-0.5285930415031606,True
3.0,slow_observer,6.0,1.0,1.965909090909091,True,-0.577843652625578,True
3.0,slow_observer,6.0,1.0,2.0272727272727273,True,-0.6270942637479954,True
3.0,slow_observer,6.0,1.0,2.088636363636364,True,-0.676344874870412,True
3.0,slow_observer,6.0,1.0,2.1500000000000004,True,-0.7255954859928274,True
3.0,slow_observer,6.0,1.0,2.211363636363637,True,-0.7748460971152462,True
3.0,slow_observer,6.0,1.0,2.272727272727273,True,-0.8240967082376618,True
3.0,slow_observer,6.0,1.0,2.334090909090909,True,-0.8733473193600783,True
3.0,slow_observer,6.0,1.0,2.3954545454545455,True,-0.9225979304824953,True
3.0,slow_observer,6.0,1.0,2.456818181818182,False,-0.9718485416049127,True
3.0,slow_observer,6.0,1.0,2.5181818181818185,False,-1.0210991527273288,True
3.0,slow_observer,6.0,1.0,2.579545454545455,False,-1.0703497638497457,True
3.0,slow_observer,6.0,1.0,2.640909090909091,False,-1.1196003749721635,True
