observer,recovered_fraction,collapsed_fraction,mean_v_min,median_t_return
fast_observer,1.0,0.9361111111111111,-0.6676025512458814,112.775
medium_observer,1.0,0.9658333333333333,-0.8563816071040652,134.8
slow_observer,0.5794444444444444,0.9813888888888889,-0.9942973430334417,157.0
