observer,auc,sigma,tau_r,delay,obs_window,v_min,collapsed,recovered,t_return
fast_observer,1.0,2.0,18.0,0.0,160.0,0.21265324848750997,True,True,91.60000000000001
fast_observer,1.0,2.169491525423729,18.0,0.0,160.0,0.22534850365091305,True,True,91.60000000000001
fast_observer,1.0,2.3389830508474576,18.0,0.0,160.0,0.237568508422163,True,True,91.60000000000001
fast_observer,1.0,2.5084745762711864,18.0,0.0,160.0,0.2493559029845213,True,True,91.65
fast_observer,1.0,2.6779661016949152,18.0,0.0,160.0,0.2607408837569631,True,True,91.65
fast_observer,1.0,2.847457627118644,18.0,0.0,160.0,0.27174069971066367,True,True,91.7
fast_observer,1.0,3.016949152542373,18.0,0.0,160.0,0.28238823427896576,True,True,91.7
fast_observer,1.0,3.1864406779661016,18.0,0.0,160.0,0.292707994821869,True,True,91.75
fast_observer,1.0,3.3559322033898304,18.0,0.0,160.0,0.30270099192935346,True,True,91.80000000000001
fast_observer,1.0,3.5254237288135593,18.0,0.0,160.0,0.31240387199124603,True,True,91.80000000000001
fast_observer,1.0,3.694915254237288,18.0,0.0,160.0,0.32181799944716616,True,True,91.85000000000001
fast_observer,1.0,3.864406779661017,18.0,0.0,160.0,0.3309639572184143,True,True,91.9
fast_observer,1.0,4.033898305084746,18.0,0.0,160.0,0.3398558064976812,True,True,91.9
fast_observer,1.0,4.203389830508474,18.0,0.0,160.0,0.3485043371514041,True,True,91.95
fast_observer,1.0,4.372881355932203,18.0,0.0,160.0,0.3569202584282617,False,True,92.0
fast_observer,1.0,4.5423728813559325,18.0,0.0,160.0,0.3651140093223383,False,True,92.05000000000001
fast_observer,1.0,4.711864406779661,18.0,0.0,160.0,0.3730956412734878,False,True,92.10000000000001
fast_observer,1.0,4.881355932203389,18.0,0.0,160.0,0.3808747506164612,False,True,92.15
fast_observer,1.0,5.0508474576271185,18.0,0.0,160.0,0.38846044497957316,False,True,92.15
fast_observer,1.0,5.220338983050848,18.0,0.0,160.0,0.39586000584301867,False,True,92.2
fast_observer,1.0,5.389830508474576,18.0,0.0,160.0,0.40307771727262376,False,True,92.25
fast_observer,1.0,5.5593220338983045,18.0,0.0,160.0,0.41012610730843785,False,True,92.30000000000001
fast_observer,1.0,5.728813559322034,18.0,0.0,160.0,0.4170084346933399,False,True,92.4
fast_observer,1.0,5.898305084745763,18.0,0.0,160.0,0.4237316613070253,False,True,92.45
fast_observer,1.0,6.067796610169491,18.0,0.0,160.0,0.430302095669733,False,True,92.5
fast_observer,1.0,6.23728813559322,18.0,0.0,160.0,0.4367253206105961,False,True,92.55000000000001
fast_observer,1.0,6.406779661016949,18.0,0.0,160.0,0.44300504964931997,False,True,92.60000000000001
fast_observer,1.0,6.576271186440678,18.0,0.0,160.0,0.4491492716613201,False,True,92.65
fast_observer,1.0,6.745762711864407,18.0,0.0,160.0,0.45515999506395594,False,True,92.75
fast_observer,1.0,6.915254237288135,18.0,0.0,160.0,0.4610420958228406,False,True,92.80000000000001
fast_observer,1.0,7.084745762711864,18.0,0.0,160.0,0.46680121117097007,False,True,92.85000000000001
fast_observer,1.0,7.254237288135593,18.0,0.0,160.0,0.472441052775602,False,True,92.95
fast_observer,1.0,7.423728813559322,18.0,0.0,160.0,0.47796525368192944,False,True,93.0
fast_observer,1.0,7.59322033898305,18.0,0.0,160.0,0.4833773560127294,False,True,93.05000000000001
fast_observer,1.0,7.762711864406779,18.0,0.0,160.0,0.4886802253525042,False,True,93.15
fast_observer,1.0,7.932203389830509,18.0,0.0,160.0,0.49387813697315586,False,True,93.2
fast_observer,1.0,8.101694915254237,18.0,0.0,160.0,0.49897428494170765,False,True,93.30000000000001
fast_observer,1.0,8.271186440677965,18.0,0.0,160.0,0.5039717426878035,False,True,93.35000000000001
fast_observer,1.0,8.440677966101696,18.0,0.0,160.0,0.5088731428587366,False,True,93.45
fast_observer,1.0,8.610169491525424,18.0,0.0,160.0,0.5136811870102617,False,True,93.55000000000001
fast_observer,1.0,8.779661016949152,18.0,0.0,160.0,0.5183989612062986,False,True,93.60000000000001
fast_observer,1.0,8.94915254237288,18.0,0.0,160.0,0.5230291524607044,False,True,93.7
fast_observer,1.0,9.118644067796609,18.0,0.0,160.0,0.527574345477742,False,True,93.80000000000001
fast_observer,1.0,9.288135593220339,18.0,0.0,160.0,0.5320370257700491,False,True,93.85000000000001
fast_observer,1.0,9.457627118644067,18.0,0.0,160.0,0.5364188881168017,False,True,93.95
fast_observer,1.0,9.627118644067796,18.0,0.0,160.0,0.5407218488536985,False,True,94.05000000000001
fast_observer,1.0,9.796610169491526,18.0,0.0,160.0,0.5449491514127726,False,True,94.15
fast_observer,1.0,9.966101694915254,18.0,0.0,160.0,0.5491028988336341,False,True,94.25
fast_observer,1.0,10.135593220338983,18.0,0.0,160.0,0.5531831379781046,False,True,94.30000000000001
fast_observer,1.0,10.305084745762711,18.0,0.0,160.0,0.5571938778042959,False,True,94.4
fast_observer,1.0,10.47457627118644,18.0,0.0,160.0,0.5611362883367365,False,True,94.5
fast_observer,1.0,10.64406779661017,18.0,0.0,160.0,0.5650114354714911,False,True,94.60000000000001
fast_observer,1.0,10.813559322033898,18.0,0.0,160.0,0.5688225863375116,False,True,94.7
fast_observer,1.0,10.983050847457626,18.0,0.0,160.0,0.5725691318850071,False,True,94.80000000000001
fast_observer,1.0,11.152542372881356,18.0,0.0,160.0,0.5762550686531854,False,True,94.9
fast_observer,1.0,11.322033898305085,18.0,0.0,160.0,0.5798797451586141,False,True,95.0
fast_observer,1.0,11.491525423728813,18.0,0.0,160.0,0.5834467360830038,False,True,95.15
fast_observer,1.0,11.661016949152541,18.0,0.0,160.0,0.586955320790802,False,True,95.25
fast_observer,1.0,11.83050847457627,18.0,0.0,160.0,0.5904087821242727,False,True,95.35000000000001
fast_observer,1.0,12.0,18.0,0.0,160.0,0.5938071989910729,False,True,95.45
fast_observer,1.0677966101694916,2.0,18.0,0.0,160.0,0.15927380770700306,True,True,92.75
fast_observer,1.0677966101694916,2.169491525423729,18.0,0.0,160.0,0.1728297581357207,True,True,92.75
fast_observer,1.0677966101694916,2.3389830508474576,18.0,0.0,160.0,0.18587823780671608,True,True,92.80000000000001
fast_observer,1.0677966101694916,2.5084745762711864,18.0,0.0,160.0,0.19846477776313248,True,True,92.80000000000001
fast_observer,1.0677966101694916,2.6779661016949152,18.0,0.0,160.0,0.21062162163879092,True,True,92.85000000000001
fast_observer,1.0677966101694916,2.847457627118644,18.0,0.0,160.0,0.22236718782664033,True,True,92.85000000000001
fast_observer,1.0677966101694916,3.016949152542373,18.0,0.0,160.0,0.23373658914533532,True,True,92.9
fast_observer,1.0677966101694916,3.1864406779661016,18.0,0.0,160.0,0.24475599447080898,True,True,92.95
fast_observer,1.0677966101694916,3.3559322033898304,18.0,0.0,160.0,0.25542648290761494,True,True,92.95
fast_observer,1.0677966101694916,3.5254237288135593,18.0,0.0,160.0,0.26578718534658435,True,True,93.0
fast_observer,1.0677966101694916,3.694915254237288,18.0,0.0,160.0,0.27583955873172084,True,True,93.0
fast_observer,1.0677966101694916,3.864406779661017,18.0,0.0,160.0,0.28560558143661174,True,True,93.05000000000001
fast_observer,1.0677966101694916,4.033898305084746,18.0,0.0,160.0,0.29510026795515076,True,True,93.10000000000001
fast_observer,1.0677966101694916,4.203389830508474,18.0,0.0,160.0,0.30433513967014386,True,True,93.15
fast_observer,1.0677966101694916,4.372881355932203,18.0,0.0,160.0,0.3133216318810263,True,True,93.15
fast_observer,1.0677966101694916,4.5423728813559325,18.0,0.0,160.0,0.3220708913102933,True,True,93.2
fast_observer,1.0677966101694916,4.711864406779661,18.0,0.0,160.0,0.3305936508513509,True,True,93.25
fast_observer,1.0677966101694916,4.881355932203389,18.0,0.0,160.0,0.33890015743791585,True,True,93.30000000000001
fast_observer,1.0677966101694916,5.0508474576271185,18.0,0.0,160.0,0.34700013616462866,True,True,93.35000000000001
fast_observer,1.0677966101694916,5.220338983050848,18.0,0.0,160.0,0.3549013621713588,False,True,93.4
fast_observer,1.0677966101694916,5.389830508474576,18.0,0.0,160.0,0.36260840996907406,False,True,93.45
fast_observer,1.0677966101694916,5.5593220338983045,18.0,0.0,160.0,0.37013465695646797,False,True,93.5
fast_observer,1.0677966101694916,5.728813559322034,18.0,0.0,160.0,0.37748358280814304,False,True,93.55000000000001
fast_observer,1.0677966101694916,5.898305084745763,18.0,0.0,160.0,0.3846626213956366,False,True,93.60000000000001
fast_observer,1.0677966101694916,6.067796610169491,18.0,0.0,160.0,0.39167850893547845,False,True,93.65
fast_observer,1.0677966101694916,6.23728813559322,18.0,0.0,160.0,0.39853720675368715,False,True,93.75
fast_observer,1.0677966101694916,6.406779661016949,18.0,0.0,160.0,0.4052426801340197,False,True,93.80000000000001
fast_observer,1.0677966101694916,6.576271186440678,18.0,0.0,160.0,0.41180345957056136,False,True,93.85000000000001
fast_observer,1.0677966101694916,6.745762711864407,18.0,0.0,160.0,0.41822168964456324,False,True,93.9
fast_observer,1.0677966101694916,6.915254237288135,18.0,0.0,160.0,0.42450257689557463,False,True,93.95
